"","Distrito","mean_pred","mean_ll","pred_ul","SE"
"188","Distrito Norte",7.40187554667286,7.22903578071034,7.57456466694862,"201633"
"189","Distrito Sul",8.32735843029315,8.15787826551523,8.49701144745384,"201633"
"190","Distrito Centro",13.3937590342955,13.2232349313841,13.564632463449,"201733"
"191","Distrito Norte",12.9989855765215,12.8256398484399,13.1728198561436,"201733"
"192","Distrito Sul",13.9056152445803,13.7362268438737,14.0751050397493,"201733"
"193","Distrito Centro",9.69430561044198,9.52405640037437,9.86472146452931,"201833"
"194","Distrito Norte",9.37465615387602,9.20227297890175,9.54707752476421,"201833"
"195","Distrito Sul",10.121690918931,9.95247121959689,10.2910653393321,"201833"
"196","Distrito Centro",11.3991532176018,11.2268449272257,11.5708079446166,"201933"
"197","Distrito Norte",10.8828816858264,10.7091744818729,11.0560205796863,"201933"
"198","Distrito Sul",11.5136136597861,11.3436604960595,11.683222001358,"201933"
"199","Distrito Centro",13.9863543513108,13.8154060079074,14.157757829085,"202033"
"200","Distrito Norte",13.7576875811294,13.5851710284354,13.9303609164354,"202033"
"201","Distrito Sul",14.2010864297372,14.03163826675,14.37082321247,"202033"
"202","Distrito Centro",11.1463304361572,10.9756012396899,11.3167940536702,"202133"
"203","Distrito Norte",10.6739066128872,10.5014055670092,10.8462668043059,"202133"
"204","Distrito Sul",11.3903353011754,11.2209847781086,11.5595793744121,"202133"
"205","Distrito Centro",13.0812646113276,12.9105060155111,13.2517664808402,"202233"
"206","Distrito Norte",12.5262116691199,12.3536119556662,12.6986660582344,"202233"
"207","Distrito Sul",13.2992127047397,13.1294019659716,13.4687195988679,"202233"
"208","Distrito Centro",12.0859259448616,11.9153779893518,12.2564611614761,"202333"
"209","Distrito Norte",11.8306700615166,11.6578752060091,12.0033187279778,"202333"
"210","Distrito Sul",12.2614035825364,12.091870630436,12.4308816617771,"202333"
"211","Distrito Centro",4.74673530153,4.5747790041054,4.91917407370207,"202433"
"212","Distrito Norte",4.41720253847826,4.24307433353185,4.59153790436785,"202433"
"213","Distrito Sul",5.21681018397566,5.04595055143735,5.38810028566459,"202433"
"214","Distrito Centro",7.52720899064719,7.34520677430622,7.70957984143586,"202533"
"215","Distrito Norte",7.2685222496395,7.08345383785392,7.45310823796748,"202533"
"216","Distrito Sul",7.91326478497041,7.73247463276621,8.0942605724344,"202533"
"217","Distrito Centro",9.91842386513824,9.73564996622228,10.1005796273334,"201433"
"218","Distrito Norte",9.48531311999465,9.30046019693059,9.66973114499704,"201433"
"219","Distrito Sul",10.1619804029825,9.98097127714056,10.3428404553981,"201433"
"220","Distrito Centro",16.6312225519265,16.4594711472305,16.8029868666579,"201533"
"221","Distrito Norte",16.4336168168396,16.2595736229594,16.607494245392,"201533"
"222","Distrito Sul",16.7048989081378,16.5342302674713,16.8756866434579,"201533"
"223","Distrito Centro",7.89276787304596,7.72201831278673,8.06386226758834,"201633"
"224","Distrito Norte",7.40187554667286,7.22903578071034,7.57456466694862,"201633"
"225","Distrito Sul",8.32735843029315,8.15787826551523,8.49701144745384,"201633"
"226","Distrito Centro",13.3937590342955,13.2232349313841,13.564632463449,"201733"
"227","Distrito Norte",12.9989855765215,12.8256398484399,13.1728198561436,"201733"
"228","Distrito Sul",13.9056152445803,13.7362268438737,14.0751050397493,"201733"
"229","Distrito Centro",9.69430561044198,9.52405640037437,9.86472146452931,"201833"
"230","Distrito Norte",9.37465615387602,9.20227297890175,9.54707752476421,"201833"
"231","Distrito Sul",10.121690918931,9.95247121959689,10.2910653393321,"201833"
"232","Distrito Centro",11.3991532176018,11.2268449272257,11.5708079446166,"201933"
"233","Distrito Norte",10.8828816858264,10.7091744818729,11.0560205796863,"201933"
"234","Distrito Sul",11.5136136597861,11.3436604960595,11.683222001358,"201933"
"235","Distrito Centro",13.9863543513108,13.8154060079074,14.157757829085,"202033"
"236","Distrito Norte",13.7576875811294,13.5851710284354,13.9303609164354,"202033"
"237","Distrito Sul",14.2010864297372,14.03163826675,14.37082321247,"202033"
"238","Distrito Centro",11.1463304361572,10.9756012396899,11.3167940536702,"202133"
"239","Distrito Norte",10.6739066128872,10.5014055670092,10.8462668043059,"202133"
"240","Distrito Sul",11.3903353011754,11.2209847781086,11.5595793744121,"202133"
"241","Distrito Centro",13.0812646113276,12.9105060155111,13.2517664808402,"202233"
"242","Distrito Norte",12.5262116691199,12.3536119556662,12.6986660582344,"202233"
"243","Distrito Sul",13.2992127047397,13.1294019659716,13.4687195988679,"202233"
"244","Distrito Centro",12.0859259448616,11.9153779893518,12.2564611614761,"202333"
"245","Distrito Norte",11.8306700615166,11.6578752060091,12.0033187279778,"202333"
"246","Distrito Sul",12.2614035825364,12.091870630436,12.4308816617771,"202333"
"247","Distrito Centro",4.74673530153,4.5747790041054,4.91917407370207,"202433"
"248","Distrito Norte",4.41720253847826,4.24307433353185,4.59153790436785,"202433"
"249","Distrito Sul",5.21681018397566,5.04595055143735,5.38810028566459,"202433"
"250","Distrito Centro",7.52720899064719,7.34520677430622,7.70957984143586,"202533"
"251","Distrito Norte",7.2685222496395,7.08345383785392,7.45310823796748,"202533"
"252","Distrito Sul",7.91326478497041,7.73247463276621,8.0942605724344,"202533"
"253","Distrito Centro",12.3196744399312,12.1541670119804,12.4854117989346,"201434"
"254","Distrito Norte",12.0922927578807,11.9242970313657,12.2605125479301,"201434"
"255","Distrito Sul",12.5818828189447,12.4170019755142,12.7463374642164,"201434"
"256","Distrito Centro",13.6492271999599,13.4876794189057,13.8108132872717,"201534"
"257","Distrito Norte",13.3400947163155,13.1753716959564,13.5039541665254,"201534"
"258","Distrito Sul",13.8499460975216,13.6891337650522,14.0119538626387,"201534"
"259","Distrito Centro",11.271484434812,11.1102515311149,11.4331745547104,"201634"
"260","Distrito Norte",10.9852724239636,10.8215184911054,11.1488790265654,"201634"
"261","Distrito Sul",11.4402749012432,11.2798351694615,11.6006424964731,"201634"
"262","Distrito Centro",10.6042762328165,10.4429915407024,10.7657184720811,"201734"
"263","Distrito Norte",10.2252118092266,10.0613527016466,10.3887001057393,"201734"
"264","Distrito Sul",10.9110800043159,10.7508868895102,11.0715072144103,"201734"
"265","Distrito Centro",13.262525392213,13.1010848100157,13.4238245014422,"201834"
"266","Distrito Norte",12.8211464289919,12.6575458260321,12.98506974582,"201834"
"267","Distrito Sul",13.3905580503008,13.2301444432339,13.5507664037162,"201834"
"268","Distrito Centro",11.4924401775116,11.330275811708,11.6539063545224,"201934"
"269","Distrito Norte",10.9403871611822,10.7766556264821,11.1040014608957,"201934"
"270","Distrito Sul",11.7325643642476,11.5719783302444,11.8928184027755,"201934"
"271","Distrito Centro",6.49641178003252,6.33465802542782,6.65940685268549,"202034"
"272","Distrito Norte",6.27037502107363,6.10650994156091,6.43416724315384,"202034"
"273","Distrito Sul",6.73950351455034,6.57916544629641,6.90077961727975,"202034"
"274","Distrito Centro",14.9299593197454,14.768097479192,15.0913510646104,"202134"
"275","Distrito Norte",14.6251734865758,14.4613587043544,14.7886962579839,"202134"
"276","Distrito Sul",15.1606825355459,15.0002014769661,15.3209397587246,"202134"
"277","Distrito Centro",7.86825170325946,7.70690121266119,8.03044307503444,"202234"
"278","Distrito Norte",7.38403073677448,7.22040662927605,7.54789686788798,"202234"
"279","Distrito Sul",8.11418464998807,7.95403308532591,8.27482479112188,"202234"
"280","Distrito Centro",12.7145335247986,12.5529879779303,12.875828731436,"202334"
"281","Distrito Norte",12.201157152854,12.03734850868,12.3646931612733,"202334"
"282","Distrito Sul",13.0917392535946,12.930900766408,13.2520388645225,"202334"
"283","Distrito Centro",12.7767067864167,12.614210261976,12.9384268542713,"202434"
"284","Distrito Norte",12.3522243927046,12.1880795960382,12.5161408099416,"202434"
"285","Distrito Sul",13.0111605378366,12.8493266010013,13.1720741888506,"202434"
"286","Distrito Centro",14.0097421655804,13.843900104486,14.176782320157,"202534"
"287","Distrito Norte",14.0444234904579,13.8752092219716,14.2128566031009,"202534"
"288","Distrito Sul",14.0166287757378,13.8504975081442,14.185261676454,"202534"
"289","Distrito Centro",10.3660073457884,10.1859800895294,10.5470809698307,"201435"
"290","Distrito Norte",10.0375092484243,9.85484300139862,10.2200059481797,"201435"
"291","Distrito Sul",10.841259701824,10.6626373834718,11.0205124244332,"201435"
"292","Distrito Centro",13.2251931742907,13.0503175256037,13.39959571162,"201535"
"293","Distrito Norte",12.5698147288345,12.3926314063241,12.7464054494607,"201535"
"294","Distrito Sul",13.5252462123435,13.3513838526447,13.6985623475745,"201535"
"295","Distrito Centro",6.22839092029811,6.05428588723424,6.40327306582855,"201635"
"296","Distrito Norte",5.83226798581408,5.65560482527995,6.00893570931634,"201635"
"297","Distrito Sul",6.49499765689534,6.32139060430658,6.66984540990583,"201635"
